Genre,Count
20th-century classical music,2
21st-century classical music,1
Alternative dance,1
Alternative hip hop,3
Alternative metal,2
Alternative music,1
Alternative rock,13
Ambient music,16
Americana (music),1
Anti-folk,1
Art pop,6
Art rock,7
Art-pop,1
Avant-funk,1
Avant-garde,2
Avant-garde jazz,1
Avant-garde metal,5
Avant-garde music,21
Avant-pop,7
Avant-rock,3
Black metal,2
Blues,2
Blues rock,2
Chamber music,1
Chamber pop,1
Children's music,2
Classical crossover,1
Classical music,4
Cloud rap,1
Computer music,1
Contemporary classical music,9
Contemporary folk music,1
Contemporary R&B,1
Crunkcore,1
Dance-pop,2
Dark ambient,5
Dark wave,1
Deathcore,1
Digital hardcore,1
Doo-wop,1
Downtempo,2
Downtown music,1
Dream pop,1
Drone (music),1
Drone metal,2
Drone music,3
Dub music,3
Electroacoustic music,3
Electronic dance music,2
Electronic music,22
Electronica,11
Electronicore,1
Electropop,2
Electropunk,1
Ethnic electronica,1
Eurodance,1
European classical music,1
European free jazz,1
Experimental electronic music,1
Experimental hip hop,2
Experimental metal,2
Experimental music,42
Experimental pop,2
Experimental rock,21
Extreme metal,1
Film score,1
Filmi,1
Folk metal,1
Folktronica,1
Freak folk,1
Free improvisation,7
Free jazz,5
Funk metal,1
Funk rock,1
Future bass,1
Futurism (music),1
Galant music,1
Garage punk (fusion genre),1
Gothic rock,2
Grindcore,2
Grunge,1
Hard rock,1
Hardcore punk,1
Heavy metal music,3
Hip hop music,2
Indian classical music,1
Indie rock,5
Industrial hip hop,3
Industrial music,10
Industrial rock,1
Intelligent dance music,5
Intermezzo,1
Jazz,8
Jazz rap,1
Jewish music,1
Jewish rock,1
Krautrock,1
Lo-fi (music),1
Lo-fi music,2
Marching band,1
Mathcore,2
Metalcore,3
Microtonal music,2
Minimal music,5
Minimalism,1
Minimalist music,2
Multimedia art,1
Musical theatre,1
Musique concrete,1
Neoclassical new-age music,1
Neoclassicism (music),1
Neofolk,1
New age music,1
New wave music,1
No wave,3
Noise (music),2
Noise music,9
Noise pop,1
Noise rap,1
Noise rock,7
Nu metal,1
Obscuro,1
Pastorale,1
Plunderphonics,1
Pop music,2
Pop punk,1
Pop rock,2
Post-hardcore,1
Post-industrial music,5
Post-punk,8
Post-rock,1
Power electronics (music),1
Progressive metal,3
Progressive music,1
Progressive rock,4
Psychedelic folk,1
Psychedelic music,3
Psychedelic rock,5
Punk rap,1
Punk rock,5
Rap rock,1
Rock music,4
Sensitive style,1
Sludge metal,1
Sound collage,1
Space age pop,1
Space rock,1
Steampunk,1
Synth-pop,1
Tape music,1
Techno,1
Third stream,1
Totalism,1
Trance music,1
Trap music (EDM),1
Trip hop,4
World music,2
